ain3[N],ain4[N],ain5[N]
0.688,2.557,4.635
0.688,2.993,6.027
0.688,2.993,6.027
0.688,2.993,6.027
0.688,3.154,6.578
0.688,3.154,6.578
0.688,3.383,6.578
0.688,3.692,7.700
0.688,3.692,7.700
0.688,3.692,7.700
0.688,4.476,7.055
0.688,4.322,6.133
0.688,4.322,6.133
0.688,4.322,6.133
0.688,4.030,4.801
0.688,4.030,4.801
0.688,3.383,4.173
0.688,3.383,4.173
0.688,2.840,3.503
0.688,2.840,3.503
0.688,2.840,3.503
0.000,2.426,3.503
0.000,2.426,3.503
0.688,2.146,3.267
0.688,2.146,3.267
0.000,2.184,3.046
0.000,2.184,3.046
0.000,2.223,3.046
0.000,2.223,3.046
0.000,2.384,3.046
0.000,2.384,3.046
0.688,2.742,3.267
0.688,2.742,3.267
0.000,3.154,3.383
0.000,3.154,3.383
0.688,4.247,4.635
0.688,4.247,4.635
0.688,5.149,5.522
0.688,5.149,5.522
0.688,6.133,6.242
0.688,6.133,6.242
0.700,7.055,7.306
0.700,7.055,7.306
0.700,8.704,9.014
0.700,8.704,9.014
0.700,9.667,10.011
0.700,9.667,10.011
0.700,10.188,10.551
0.700,10.188,10.551
0.700,9.838,10.188
0.700,9.838,10.188
0.700,9.173,10.368
0.700,9.173,10.368
0.700,8.115,9.838
0.700,8.115,9.838
0.700,8.115,9.838
0.700,7.306,8.704
0.700,7.306,8.704
0.700,6.812,8.704
0.700,6.812,8.704
0.688,7.055,7.700
0.688,7.055,7.700
0.688,6.464,6.242
0.688,6.464,6.242
0.688,5.619,5.059
0.688,5.619,5.059
0.688,4.885,4.173
0.688,4.885,4.173
0.688,4.555,3.565
0.688,4.555,3.565
0.688,5.619,3.565
0.688,5.619,3.565
0.688,5.922,3.154
0.688,5.922,3.154
0.688,5.922,3.267
0.688,5.922,3.267
0.688,5.922,3.046
0.688,5.922,3.046
0.688,6.578,2.890
0.688,6.578,2.890
0.688,6.578,2.890
0.688,6.578,2.791
0.688,6.352,2.840
0.688,6.352,2.840
0.688,6.464,2.941
0.688,6.464,2.941
0.688,6.578,3.046
0.688,6.578,3.046
0.688,6.352,2.941
0.688,6.352,2.941
0.688,5.820,2.941
0.688,5.820,2.941
0.000,4.801,2.742
0.000,4.801,2.742
0.000,4.030,2.695
0.000,4.030,2.695
0.000,3.692,2.648
0.000,3.692,2.648
0.000,3.154,2.512
0.000,3.154,2.512
