Time[s],ain0[N],ain1[N],ain2[N],ain3[N],ain4[N],ain5[N],ain6[N],ain7[N],count
2097.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2098.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2098.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2098.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2098.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2098.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2098.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2098.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2098.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2098.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2098.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2098.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2099.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2099.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2099.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2099.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2099.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2099.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2099.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2099.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2099.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2099.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2099.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2099.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2101.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2101.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2101.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2101.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2101.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2101.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2101.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2101.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2101.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2101.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
