ain3[N],ain4[N],ain5[N]
0.700,3.891,25.311
0.700,3.891,25.311
0.700,4.030,26.675
0.700,4.030,26.675
0.700,4.030,26.675
0.700,4.173,24.016
0.700,4.173,24.016
0.700,4.247,25.758
0.700,4.247,25.758
0.700,4.247,24.872
0.700,4.247,24.872
0.700,4.247,24.872
0.700,4.322,27.625
0.700,4.322,27.625
0.700,4.398,28.113
0.700,4.398,28.113
0.700,4.398,26.675
0.700,4.476,28.609
0.700,4.476,28.609
0.700,4.476,28.609
0.700,4.476,27.625
0.700,4.476,27.625
0.700,4.476,27.625
0.700,4.476,26.675
0.700,4.476,26.675
0.700,4.322,23.600
0.700,4.322,23.600
0.700,3.692,17.836
0.700,3.692,17.836
0.700,3.692,17.836
0.700,3.324,13.480
0.700,3.324,13.480
0.688,2.742,8.857
0.688,2.742,8.857
0.688,2.742,8.857
0.688,2.469,8.553
0.688,2.469,8.553
0.688,2.072,6.933
0.688,2.072,6.933
0.688,2.343,4.801
0.688,2.343,4.801
0.688,2.557,4.101
0.688,2.557,4.101
0.688,2.557,4.101
0.688,2.890,2.742
0.688,2.890,2.742
0.688,3.099,1.802
0.688,3.099,1.802
0.688,3.443,1.460
0.688,3.443,1.460
0.688,3.324,1.622
0.688,3.324,1.622
0.688,3.324,1.622
0.688,3.154,1.622
0.688,3.154,1.622
0.000,2.791,1.512
0.000,2.791,1.512
0.000,2.791,1.512
0.000,2.840,1.460
0.000,2.840,1.460
0.688,2.890,1.315
0.688,2.890,1.315
0.688,2.557,1.315
0.688,2.557,1.315
0.688,2.557,1.315
0.000,2.993,1.386
0.000,2.993,1.386
0.000,2.993,1.594
0.000,2.993,1.594
0.000,2.993,1.594
0.000,3.628,1.435
0.688,3.565,1.205
0.688,3.565,1.205
0.688,3.565,1.205
0.000,2.557,1.184
0.000,2.557,1.184
0.000,1.512,1.184
0.000,1.512,1.184
0.700,1.205,1.184
0.700,1.205,1.184
0.000,1.163,1.163
0.000,1.163,1.163
0.000,1.163,1.163
0.000,1.163,1.184
0.000,1.163,1.184
0.000,1.143,1.184
0.000,1.143,1.184
0.000,1.163,1.205
0.000,1.163,1.205
0.000,1.184,1.184
0.000,1.184,1.184
0.000,1.205,1.184
0.000,1.205,1.184
